                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3271,                 1.7073,                 1.2932,                0.52042,                0.39267,                0.40218,                0.20301,                 1.7676,                  2.139,                 1.6762,             0.00066381,             0.00066381,             0.00066381
                      2,                 1.5527,                 1.7274,                 1.4581,                  0.441,                0.32778,                0.31552,                0.14342,                 1.9622,                 2.4414,                 1.9496,              0.0012427,              0.0012427,              0.0012427
                      3,                 1.5884,                  1.709,                 1.4874,                0.47768,                0.36061,                0.35544,                0.16931,                 1.9035,                 1.9953,                 1.7498,              0.0017335,              0.0017335,              0.0017335
                      4,                  1.563,                 1.6757,                 1.4802,                0.56963,                0.37553,                0.41739,                0.20564,                 1.7565,                 1.8022,                 1.6633,               0.001604,               0.001604,               0.001604
                      5,                 1.5074,                 1.6111,                 1.4512,                0.50873,                0.39965,                 0.4039,                0.20314,                  1.777,                 1.8448,                 1.6581,               0.001472,               0.001472,               0.001472
                      6,                 1.5906,                 1.6397,                 1.5497,                 0.5989,                0.39436,                0.44216,                0.23657,                 1.7055,                 1.7375,                 1.6208,                0.00134,                0.00134,                0.00134
                      7,                 1.5565,                 1.5622,                  1.527,                0.66948,                0.44479,                0.52089,                0.28575,                 1.6007,                 1.5905,                 1.5334,               0.001208,               0.001208,               0.001208
                      8,                 1.5066,                 1.4957,                 1.4903,                0.63398,                0.45834,                0.50785,                0.27819,                 1.5687,                 1.5571,                 1.5272,               0.001076,               0.001076,               0.001076
                      9,                 1.4789,                  1.446,                 1.4583,                 0.6681,                0.45586,                0.52617,                0.30532,                 1.5362,                 1.4956,                 1.5022,               0.000944,               0.000944,               0.000944
                     10,                 1.4308,                 1.3954,                 1.4337,                0.67481,                 0.4913,                0.56313,                0.32741,                 1.4741,                 1.4361,                 1.4523,               0.000812,               0.000812,               0.000812
                     11,                 1.3901,                 1.3352,                 1.4013,                0.70991,                0.50211,                0.58906,                0.34867,                 1.4488,                 1.3617,                 1.4178,                0.00068,                0.00068,                0.00068
                     12,                 1.3549,                  1.283,                  1.376,                0.72869,                0.51405,                0.60446,                0.36297,                 1.4098,                 1.3164,                 1.3931,               0.000548,               0.000548,               0.000548
                     13,                 1.3176,                 1.2258,                 1.3506,                0.71251,                0.51753,                0.60686,                 0.3676,                 1.3975,                 1.2856,                 1.3849,               0.000416,               0.000416,               0.000416
                     14,                 1.2716,                 1.1814,                 1.3192,                0.71141,                0.53842,                0.62018,                0.37685,                 1.3831,                 1.2538,                 1.3747,               0.000284,               0.000284,               0.000284
                     15,                 1.2507,                 1.1429,                 1.3072,                0.74741,                0.52947,                 0.6302,                0.39369,                 1.3393,                 1.2061,                 1.3384,               0.000152,               0.000152,               0.000152
